source_id,split
5469,training
13580,training
17834,training
6275,training
16458,training
2226,training
24006,training
13569,training
11435,training
15581,training
13348,training
23515,training
22196,training
5395,training
7043,training
19477,training
12848,training
5699,training
19372,training
433,training
12674,training
23860,training
5473,training
22649,training
645,training
2403,training
9925,training
18654,training
22026,training
17446,training
20159,training
14273,training
18285,training
13089,training
11245,training
890,training
4129,training
2308,training
5236,training
11596,training
18203,training
11554,training
17486,training
20030,training
11059,training
23570,training
15037,training
20110,training
6376,training
19184,training
1807,training
8888,training
18455,training
12312,training
21790,training
23504,training
11215,training
711,training
3858,training
15225,training
5545,training
6144,training
6510,training
13113,training
20163,training
4221,training
10230,training
15366,training
12394,training
11610,training
8543,training
19969,training
655,training
8402,training
21451,training
18949,training
88,training
4879,training
17370,training
2511,training
9077,training
4339,training
24711,training
7380,training
13740,training
24153,training
2866,training
3106,training
9491,training
9352,training
13138,training
19424,training
7694,training
16144,training
4557,training
14708,training
10331,training
22562,training
9557,training
13677,training
11326,training
20075,training
15636,training
2901,training
15022,training
20322,training
1735,training
17429,training
20751,training
22195,training
561,training
5149,training
9374,training
5998,training
5945,training
1420,training
21443,training
6646,training
19615,training
2199,training
3177,training
22761,training
19248,training
14428,training
10629,training
1408,training
18214,training
21260,training
11959,training
5493,training
15116,training
1076,training
2647,training
15905,training
7190,training
11095,training
20132,training
20638,training
3176,training
16602,training
3564,training
2988,training
19625,training
11232,training
19652,training
20768,training
11467,training
19107,training
707,training
17069,training
1271,training
8762,training
4345,training
17847,training
10722,training
818,training
16592,training
2206,training
10505,training
3967,training
22783,training
260,training
23724,training
2671,training
9818,training
9928,training
4759,training
12656,training
10710,training
15097,training
20487,training
8572,training
22104,training
12222,training
6902,training
3876,training
4254,training
1290,training
21095,training
3282,training
24025,training
7952,training
7720,training
14656,training
14495,training
5346,training
21937,training
10182,training
22714,training
10082,training
16986,training
1901,training
24508,training
83,training
12982,training
13766,training
580,training
24061,training
16523,training
10408,training
16229,training
18139,training
8639,training
9804,training
4511,training
23367,training
12828,training
21318,training
5040,training
18795,training
13713,training
6577,training
24739,training
1708,training
13163,training
13595,training
2441,training
8755,training
22153,training
1211,training
23325,training
841,training
14160,training
15254,training
16399,training
16468,training
2992,training
9296,training
9042,training
23408,training
5444,training
5978,training
9675,training
4315,training
14456,training
20388,training
8982,training
21242,training
24615,training
20145,training
16344,training
15743,training
21404,training
21192,training
10772,training
3714,training
24059,training
9141,training
24280,training
2962,training
1080,training
6762,training
15897,training
1249,training
9798,training
978,training
10652,training
14965,training
24327,training
14553,training
22836,training
6111,training
23094,training
12626,training
7563,training
4187,training
8929,training
1552,training
3155,training
2212,training
5865,training
52,training
9649,training
1403,training
16079,training
3035,training
9941,training
16530,training
17241,training
6030,training
7297,training
7442,training
7532,training
20304,training
4691,training
9236,training
3217,training
17401,training
21498,training
5881,training
10779,training
21226,training
15437,training
21633,training
19850,training
16336,training
15128,training
23541,training
15934,training
1598,training
22199,training
6004,training
12429,training
9086,training
5107,training
35,training
2210,training
19327,training
17793,training
13120,training
2507,training
12711,training
7035,training
6918,training
11282,training
24157,training
5439,training
1306,training
23656,training
19603,training
13685,training
18638,training
70,training
6888,training
9864,training
16151,training
23776,training
12022,training
11099,training
4288,training
14725,training
1395,training
5304,training
14888,training
6962,training
14493,training
22718,training
17130,training
18218,training
4906,training
10709,training
17880,training
23404,training
6094,training
12590,training
20855,training
9797,training
784,training
7841,training
4273,training
6716,training
22524,training
17349,training
3379,training
9033,training
12042,training
11572,training
1444,training
17814,training
11963,training
13814,training
15253,training
14779,training
13923,training
18387,training
1906,training
14614,training
8544,training
18858,training
14175,training
3496,training
21758,training
16596,training
18492,training
2579,training
12694,training
